Period,Enright_Value,ChiSq_Qp,log_Pvalue
14,69.0115287758571,4.261699639302916,-0.01199600785158063
15,64.67397365892003,5.658923570192694,-0.025964155481692168
16,54.47677992599704,8.410122973871388,-0.09839553174669109
17,45.6903640593111,5.894898718027768,-0.010867283806348148
18,38.08844537022071,9.732299322476175,-0.08942235443647212
19,33.73072009419068,10.215492277350577,-0.07834528956396111
20,26.474971453793096,10.754085384257387,-0.07060122077372355
21,24.569717046498162,24.435733204671852,-1.4966611654204658
22,21.82478208542237,16.67686922943753,-0.31402880873423794
23,13.88180898508668,9.811360059378728,-0.012137480098280537
24,46.64473073163054,125.0291101980245,-35.20469317037085
25,18.611822704891356,19.734334140190605,-0.33998736425069104
26,27.769359663288117,38.19276449749316,-3.116873159120153
27,21.582515539497813,18.559005082192137,-0.15723967444102965
28,18.581907512719326,8.237240011628577,-0.00019416779189216737
29,24.37607274951648,14.619103373197717,-0.017979756335723615
30,27.78440101873656,16.861088002569417,-0.03635832085998073
31,28.868599855456917,19.037313981178983,-0.06270196939584918
32,33.42937519053686,20.07487582569428,-0.06808092665510902
33,33.45669313952556,12.22897498072204,-0.0006205091068209799
34,34.301948609643674,11.94632349669473,-0.0002860358221622564
