Period,Enright_Value,ChiSq_Qp,log_Pvalue
14,170.41127639186854,11.395879658516016,-0.5487168734659263
15,143.94125065736415,5.714831728369178,-0.02719113034348271
16,126.52678168932486,14.805739112010587,-0.7646460336170172
17,98.28163235199443,8.180546805336684,-0.0583617295231251
18,82.33290137724686,10.391313276794186,-0.12058234272782482
19,83.48190254424189,15.548567234673621,-0.47157218744962925
20,62.20993012102801,26.075495567152085,-2.054951119731601
21,55.36430632171409,22.606945516238973,-1.1760211499456268
22,37.24868549142279,10.00402166179254,-0.021367063407922007
23,69.4020081593492,44.1225938835891,-5.677085139551868
24,99.05237452145988,96.04010028022945,-23.420288648137998
25,78.17866611987246,61.88457962099832,-10.275916610989539
26,58.47859189432488,36.05215399577208,-2.647723514836685
27,49.54358716320315,19.730885033744524,-0.2179878069800559
28,58.062903841189936,30.033765985648284,-1.162706803775855
29,70.46205943999949,26.37907847756178,-0.5938156846169006
30,65.2282207307127,17.174714023986624,-0.04144946824833128
31,60.45196715712685,15.304749545851072,-0.012173805013656688
32,75.89443282434996,26.427981950935823,-0.35585401615548967
33,78.01362240972033,21.679238842173287,-0.088062531398369
34,83.35151207682634,21.248335580582392,-0.058601547838466335
