fname,date,M10_hour,M10_mean_activity,M10_actual_activity,L5_hour,L5_mean_activity,L5_actual_activity
DWJ_left upper arm_111238_2026-07-21 18-46-10_60s.csv,2026-07-14,13,180.99622537878787,206.700875,2,113.93796527777778,73.50603333333333
DWJ_left upper arm_111238_2026-07-21 18-46-10_60s.csv,2026-07-15,14,186.50549166666667,396.82095000000004,0,118.1916152777778,87.9614
DWJ_left upper arm_111238_2026-07-21 18-46-10_60s.csv,2026-07-16,12,190.5769106060606,247.98058333333333,2,96.45512499999998,61.94251666666666
DWJ_left upper arm_111238_2026-07-21 18-46-10_60s.csv,2026-07-17,15,155.09368333333333,273.3639333333333,2,106.22096388888887,125.70533333333333
DWJ_left upper arm_111238_2026-07-21 18-46-10_60s.csv,2026-07-18,19,165.2011068181818,461.60850000000005,4,90.71988333333331,78.05621666666666
DWJ_left upper arm_111238_2026-07-21 18-46-10_60s.csv,2026-07-19,15,140.93512348484848,385.80483333333336,3,96.89086527777778,96.96848333333334
DWJ_left upper arm_111238_2026-07-21 18-46-10_60s.csv,2026-07-20,11,160.88441363636363,194.9549,3,115.53659861111112,70.24703333333333
DWJ_left upper arm_111238_2026-07-21 18-46-10_60s.csv,2026-07-21,15,210.2987363636364,472.5699333333333,21,176.2207263888889,183.429
