Period,Enright_Value,ChiSq_Qp,log_Pvalue
14,134.87510812879702,14.43227408028669,-1.066763443049693
15,119.4700189495321,7.76181767485236,-0.10384842399490544
16,117.63443019293221,23.619561858556423,-2.633284952641364
17,93.92526392123614,17.822165581811824,-1.095378647568802
18,83.04295118990831,21.645749346506417,-1.6158120596832009
19,76.24372165318215,21.69071167019503,-1.4023974651579716
20,59.79279798845306,22.48961514017352,-1.344881883010469
21,57.75360377712495,22.17655232913231,-1.1056133087237716
22,49.67535386953568,16.40905126807259,-0.29270037069929394
23,61.49710679479014,26.714932386754864,-1.5039336994938604
24,83.0885484194079,55.15351473751214,-8.591660458949974
25,56.69355012374176,30.13665968092007,-1.7133351752073613
26,48.90969529254592,19.890109231513136,-0.28426684818884046
27,66.31060103028102,30.28239251341829,-1.3622759776465936
28,54.53016059609371,27.794757660384985,-0.8636673892596669
29,83.77421781268309,36.692864282856476,-2.073142758926385
30,60.085866319678416,27.140120588902878,-0.5724433806448661
31,75.2581065428366,25.045613014007408,-0.32460590836354786
32,91.01659868599717,40.776159790066984,-2.1852215423895323
33,84.89960849952742,32.750265443741526,-0.8439521640215045
34,85.61691461301125,31.270599761825252,-0.591734325935864
