fname,date,M10_hour,M10_mean_activity,M10_actual_activity,L5_hour,L5_mean_activity,L5_actual_activity
DWJ_left ankle_111244_2026-07-21 18-38-05_60s.csv,2026-07-14,12,192.52154180440772,268.3075454545455,1,137.7865888888889,69.19409999999999
DWJ_left ankle_111244_2026-07-21 18-38-05_60s.csv,2026-07-15,14,242.1920454545455,927.0896833333334,0,149.65551805555555,54.283233333333335
DWJ_left ankle_111244_2026-07-21 18-38-05_60s.csv,2026-07-16,12,192.447546969697,258.4274833333333,4,121.24922777777778,48.197633333333336
DWJ_left ankle_111244_2026-07-21 18-38-05_60s.csv,2026-07-17,15,184.21277045454548,377.9659833333333,2,108.33655000000002,69.65341666666667
DWJ_left ankle_111244_2026-07-21 18-38-05_60s.csv,2026-07-18,19,224.19101590909088,794.0780833333333,8,112.42224861111112,50.2308
DWJ_left ankle_111244_2026-07-21 18-38-05_60s.csv,2026-07-19,15,206.1398371212121,593.36,3,112.16841805555555,65.31613333333333
DWJ_left ankle_111244_2026-07-21 18-38-05_60s.csv,2026-07-20,9,238.75212424242426,871.1429833333333,3,179.31239305555553,160.36116666666666
DWJ_left ankle_111244_2026-07-21 18-38-05_60s.csv,2026-07-21,15,321.1288265948963,810.4810666666667,21,268.03570102339177,298.7541578947368
