Period,Enright_Value,ChiSq_Qp,log_Pvalue
14,39.710011036240395,5.10536593363903,-0.02757699608048515
15,35.31498574796034,5.252673477709341,-0.018188311628340434
16,29.008276574041204,7.089084132923265,-0.04590741237665803
17,25.622870954818367,3.8657607282210913,-0.0008850027323299202
18,22.559325521242815,13.754761732346562,-0.37924341658516936
19,20.286304299557585,16.107389013582594,-0.5360532476002767
20,14.998930639537216,7.879465894403739,-0.012231364501700294
21,11.673657713636395,4.995242838798855,-0.00027534385560082266
22,9.341572933090447,7.1126178719842885,-0.002092124652504094
23,12.498367248340369,24.61542357216859,-1.1525936776833228
24,14.447923790418834,35.74033287644341,-3.1272172253962403
25,10.33334600311125,16.135748691797215,-0.12430109244922555
26,10.677219331930441,13.354154321104046,-0.028545413398787783
27,11.917589790166307,11.314509852483388,-0.005594344641558981
28,12.292597512543097,7.564206526789169,-8.346164044238883e-05
29,14.006754296977434,6.933177623001311,-1.6771448840290858e-05
30,17.513237777272728,16.14330741334732,-0.026470096382688144
31,19.74666189724628,24.257681037792985,-0.27411717531414304
32,18.08409205489034,24.228894320946267,-0.22177694586327126
33,22.11435795244606,25.21243749018126,-0.2264802053757992
34,24.24508132352442,19.931375953041947,-0.036242787012213125
