fname,date,M10_hour,M10_mean_activity,M10_actual_activity,L5_hour,L5_mean_activity,L5_actual_activity
DWJ_left wrist_111243_2026-07-21 18-32-14_60s.csv,2026-07-14,13,272.6440674242424,315.8066666666667,2,128.32476805555555,63.106366666666666
DWJ_left wrist_111243_2026-07-21 18-32-14_60s.csv,2026-07-15,14,304.7620871212121,639.311,0,157.73626249999998,77.18611666666668
DWJ_left wrist_111243_2026-07-21 18-32-14_60s.csv,2026-07-16,12,264.6842848484848,393.23114999999996,2,119.7984736111111,52.7373
DWJ_left wrist_111243_2026-07-21 18-32-14_60s.csv,2026-07-17,15,207.02071060606062,350.5521,2,97.59770972222222,41.06531666666667
DWJ_left wrist_111243_2026-07-21 18-32-14_60s.csv,2026-07-18,19,235.37065530303028,563.05725,5,112.14945416666666,47.28326666666667
DWJ_left wrist_111243_2026-07-21 18-32-14_60s.csv,2026-07-19,16,193.00747121212123,446.46065,0,104.71264583333331,74.80286666666666
DWJ_left wrist_111243_2026-07-21 18-32-14_60s.csv,2026-07-20,14,244.45195151515153,246.1059,3,135.10395555555556,94.30316666666666
DWJ_left wrist_111243_2026-07-21 18-32-14_60s.csv,2026-07-21,15,293.72669308712125,666.2154166666667,7,236.01471440972222,240.71796875
